Student_ID,Age,Gender,Program,Year,Study_Hours_Per_Week,Attendance_Percent,Assignment_Score,Midterm_Score,Internet_Access,Previous_GPA,Extracurricular_Activities,Final_Score,Academic_Performance
STU0068,22,Female,Computer Science,2,12.8,88.3,58.3,88.4,Yes,3.09,Sports,100.0,High Distinction
STU0069,18,Male,Business Analytics,4,4.8,82.2,83.3,64.5,Yes,2.85,Club,80.1,Distinction
STU0070,25,Female,Information Technology,4,9.5,79.2,56.6,66.2,Yes,3.05,Multiple,85.6,Distinction
STU0071,22,Female,Business Analytics,2,24.4,93.3,79.6,51.5,Yes,3.48,Multiple,100.0,High Distinction
STU0072,19,Female,Computer Science,4,13.4,71.2,80.1,80.3,Yes,2.8,Sports,100.0,High Distinction
STU0073,18,Male,Data Science,2,13.5,75.3,47.2,70.8,Yes,2.21,None,95.3,Distinction
STU0074,22,Male,Software Engineering,2,13.2,80.4,73.2,61.7,Yes,3.97,Volunteer,100.0,High Distinction
STU0075,22,Female,Computer Science,1,26.4,95.1,65.9,39.4,Yes,2.6,Sports,100.0,Distinction
STU0076,22,Female,Computer Science,3,24.8,87.4,62.1,89.7,Yes,2.57,None,100.0,High Distinction
STU0077,22,Male,Computer Science,4,28.3,75.3,89.6,49.6,No,3.55,Multiple,100.0,High Distinction
STU0078,18,Female,Data Science,3,14.0,81.2,63.5,59.1,Yes,2.88,None,87.1,Distinction
STU0079,20,Female,Business Analytics,2,16.8,78.5,61.5,73.4,Yes,3.02,None,100.0,High Distinction
STU0080,19,Male,Business Analytics,3,5.9,77.6,73.0,50.1,Yes,3.27,None,83.6,Distinction
STU0081,23,Female,Computer Science,1,23.9,92.8,80.9,45.6,Yes,3.54,Club,100.0,High Distinction
STU0082,21,Male,Information Technology,4,8.0,71.7,70.2,36.1,Yes,2.9,Club,79.0,Credit
STU0083,20,Female,Business Analytics,2,16.3,98.5,87.2,78.8,Yes,3.73,Sports,100.0,High Distinction
STU0084,18,Male,Business Analytics,2,8.4,91.5,78.9,59.8,Yes,2.09,Sports,86.0,Distinction
STU0085,20,Female,Software Engineering,3,11.5,93.8,43.7,100.0,Yes,3.39,Sports,98.2,High Distinction
STU0086,20,Female,Computer Science,3,10.0,79.8,65.1,53.1,Yes,2.67,Club,87.4,Distinction
STU0087,22,Male,Data Science,1,11.4,82.7,64.7,54.2,Yes,3.67,None,100.0,Distinction
STU0088,21,Female,Information Technology,3,11.8,71.1,78.2,59.5,Yes,3.11,Multiple,84.1,Distinction
STU0089,23,Male,Information Technology,1,11.7,79.3,37.9,71.6,Yes,2.75,None,83.0,Credit
STU0090,20,Female,Data Science,3,20.0,88.4,100.0,60.9,Yes,3.35,Multiple,100.0,High Distinction
STU0091,19,Male,Data Science,4,8.4,95.7,78.9,77.2,Yes,3.45,None,100.0,High Distinction
STU0092,22,Male,Software Engineering,4,16.3,74.0,73.9,53.3,Yes,3.34,Volunteer,100.0,High Distinction
STU0093,22,Male,Computer Science,3,22.3,80.7,87.4,47.3,Yes,2.59,None,100.0,High Distinction
STU0094,21,Male,Computer Science,2,11.9,82.6,100.0,41.0,Yes,2.83,None,100.0,High Distinction
STU0095,22,Female,Data Science,1,10.7,71.4,83.3,34.6,Yes,3.05,Multiple,84.1,Distinction
STU0096,21,Female,Business Analytics,3,13.6,89.3,84.3,60.2,Yes,3.03,Multiple,100.0,High Distinction
STU0097,21,Male,Information Technology,1,22.1,77.5,73.7,63.5,Yes,3.39,Sports,100.0,High Distinction
STU0098,20,Male,Computer Science,2,16.2,82.2,70.2,58.5,Yes,2.14,Club,92.4,Distinction
STU0099,18,Male,Computer Science,2,11.8,79.9,65.8,86.7,Yes,3.2,Club,100.0,High Distinction
STU0100,19,Female,Software Engineering,1,17.9,76.9,61.3,86.4,Yes,2.92,Multiple,100.0,High Distinction
STU0101,18,Female,Computer Science,3,8.4,83.9,,63.0,Yes,2.67,Sports,94.4,Distinction
STU0102,21,Female,Information Technology,1,19.1,82.1,54.4,41.1,Yes,2.72,Club,96.8,Credit
STU0103,20,Female,Computer Science,3,17.5,80.7,71.0,59.5,No,2.95,Sports,100.0,High Distinction
STU0104,21,Male,Information Technology,2,13.2,77.4,50.1,59.0,Yes,1.5,Sports,81.5,Credit
STU0105,23,Male,Computer Science,1,10.0,86.9,74.5,58.1,Yes,2.73,Multiple,91.9,Distinction
STU0106,19,Male,Business Analytics,2,9.7,98.9,71.5,57.5,Yes,2.66,None,95.1,Distinction
STU0107,20,Female,Computer Science,1,18.2,85.3,73.9,58.2,No,3.29,None,100.0,High Distinction
STU0108,22,Female,Data Science,1,22.4,93.0,65.2,62.2,Yes,2.69,Club,100.0,Distinction
STU0109,19,Female,Computer Science,3,11.2,71.5,100.0,58.5,Yes,2.95,Club,100.0,High Distinction
STU0110,18,Male,Business Analytics,1,17.8,85.4,89.7,71.1,Yes,3.74,None,100.0,High Distinction
STU0111,20,Male,Software Engineering,4,2.5,74.1,55.8,73.4,Yes,3.5,Sports,76.3,Credit
STU0112,19,Female,Data Science,1,11.5,70.7,75.0,54.3,Yes,3.46,Multiple,95.2,Distinction
STU0113,23,Male,Business Analytics,1,14.8,77.3,64.1,87.1,Yes,2.83,None,100.0,High Distinction
STU0114,22,Female,Information Technology,3,9.5,94.7,58.8,53.3,Yes,3.29,Club,100.0,Distinction
STU0115,21,Female,Information Technology,2,9.4,92.6,54.6,43.7,Yes,2.94,Volunteer,72.3,Pass
STU0116,23,Male,Data Science,1,11.0,86.2,77.6,73.7,Yes,2.96,Sports,97.2,High Distinction
STU0117,22,Female,Software Engineering,2,16.8,70.2,63.1,55.7,Yes,3.23,Multiple,86.2,Distinction
STU0118,19,Male,Data Science,1,13.9,82.2,84.6,72.8,Yes,2.78,Volunteer,100.0,High Distinction
STU0119,23,Female,Business Analytics,4,2.0,86.7,84.9,31.9,Yes,3.72,Sports,82.5,Distinction
STU0120,21,Male,Data Science,2,2.3,85.6,89.9,88.9,Yes,2.98,Club,100.0,High Distinction
STU0121,22,Male,Business Analytics,3,11.4,67.4,60.9,78.1,Yes,3.33,Club,97.8,High Distinction
STU0122,23,Male,Computer Science,4,17.7,76.0,78.2,45.5,Yes,3.71,Club,100.0,Distinction
STU0123,20,Female,Business Analytics,2,2.0,83.4,80.2,45.8,Yes,3.51,Multiple,85.0,Distinction
STU0124,19,Female,Software Engineering,4,12.0,88.8,65.8,93.1,Yes,2.42,Sports,98.6,High Distinction
STU0125,19,Male,Computer Science,2,11.8,64.2,62.0,56.9,Yes,3.25,None,81.1,Credit
STU0126,20,Male,Data Science,4,23.3,82.5,92.9,55.5,Yes,3.43,None,100.0,High Distinction
STU0127,22,Female,Computer Science,1,12.7,85.3,75.0,34.0,Yes,3.45,None,85.3,Credit
STU0128,23,Female,Business Analytics,3,17.3,91.6,80.3,62.7,Yes,2.55,None,100.0,High Distinction
STU0129,18,Female,Computer Science,2,15.8,90.2,61.3,64.6,Yes,2.75,Multiple,100.0,Distinction
STU0130,21,Male,Information Technology,2,2.2,89.2,56.1,78.7,Yes,3.5,Club,93.7,Distinction
STU0131,20,Female,Data Science,3,19.6,,64.6,47.0,Yes,2.71,Club,98.6,Distinction
STU0132,19,Female,Information Technology,3,16.3,66.8,70.4,45.2,Yes,2.92,Club,98.2,Distinction
STU0133,19,Male,Data Science,1,18.0,80.5,58.2,74.8,Yes,3.76,Volunteer,100.0,High Distinction
STU0134,20,Female,Data Science,1,35.0,93.0,71.9,83.1,Yes,3.03,Sports,100.0,High Distinction
STU0135,24,Female,Software Engineering,3,2.5,96.5,50.0,44.4,Yes,2.72,Multiple,68.2,Pass
STU0136,20,Female,Computer Science,3,25.3,90.4,57.4,84.2,Yes,2.66,Sports,100.0,High Distinction
STU0137,21,Male,Information Technology,4,13.3,87.9,80.7,68.6,Yes,3.2,Multiple,99.9,High Distinction
STU0138,22,Male,Computer Science,3,16.7,87.4,79.8,84.4,Yes,2.45,Club,100.0,High Distinction
STU0139,20,Male,Software Engineering,4,14.7,79.0,66.9,66.9,Yes,2.94,None,100.0,High Distinction
STU0140,24,Male,Software Engineering,3,12.5,82.8,58.8,30.2,Yes,3.2,Club,93.1,Credit
STU0141,24,Male,Business Analytics,2,11.6,99.0,58.6,65.7,Yes,3.63,Club,100.0,Distinction
STU0142,19,Male,Software Engineering,1,17.0,75.5,67.1,83.9,No,3.35,None,100.0,High Distinction
STU0143,21,Male,Business Analytics,3,5.9,98.5,80.4,54.6,Yes,2.73,Club,86.4,Distinction
STU0144,20,Female,Business Analytics,3,19.5,81.1,84.1,62.2,Yes,3.58,Sports,100.0,High Distinction
STU0145,20,Female,Computer Science,1,12.5,95.9,65.5,65.4,Yes,2.92,None,100.0,High Distinction
STU0146,18,Male,Data Science,2,8.2,71.3,57.0,24.5,Yes,2.49,Multiple,63.6,Pass
STU0147,21,Female,Computer Science,4,12.3,89.3,75.5,93.1,Yes,2.97,Club,100.0,High Distinction
STU0148,21,Female,Software Engineering,2,22.5,77.4,61.3,54.5,Yes,3.7,Multiple,100.0,Distinction
STU0149,18,Male,Data Science,2,11.8,71.3,65.3,75.6,Yes,3.12,Club,96.7,High Distinction
STU0150,20,Female,Data Science,2,17.2,86.0,89.2,66.7,Yes,3.06,Sports,100.0,High Distinction
STU0151,23,Female,Computer Science,1,10.6,93.1,82.8,86.9,Yes,3.79,Sports,100.0,High Distinction
STU0152,19,Female,Information Technology,2,19.5,76.4,74.1,74.1,Yes,2.41,Club,100.0,High Distinction
STU0153,19,Female,Information Technology,2,19.1,70.5,55.5,64.5,Yes,2.47,Multiple,83.7,Distinction
STU0154,21,Female,Information Technology,1,26.1,83.2,74.7,54.6,Yes,2.32,None,100.0,High Distinction
STU0155,25,Male,Computer Science,3,13.9,83.2,85.8,80.0,Yes,3.22,Multiple,100.0,High Distinction
STU0156,19,Male,Software Engineering,2,19.0,88.9,67.1,39.9,Yes,3.12,Multiple,100.0,Distinction
STU0157,21,Male,Business Analytics,4,15.6,92.5,89.6,77.7,Yes,3.74,Club,100.0,High Distinction
STU0158,22,Female,Information Technology,4,22.8,83.5,88.8,51.5,Yes,3.16,Multiple,100.0,High Distinction
STU0159,19,Male,Information Technology,1,10.7,100.0,93.6,86.8,Yes,2.87,Sports,100.0,High Distinction
STU0160,22,Female,Information Technology,3,19.5,86.0,76.0,70.4,Yes,3.05,Multiple,100.0,High Distinction
STU0161,20,Female,Business Analytics,2,13.8,80.9,79.6,77.7,No,3.1,Club,100.0,High Distinction
STU0162,21,Female,Business Analytics,4,14.6,69.5,90.4,69.2,Yes,2.3,None,98.1,High Distinction
STU0163,21,Female,Software Engineering,1,15.6,81.6,77.8,41.7,Yes,4.0,Multiple,100.0,Distinction
STU0164,21,Male,Business Analytics,3,16.5,81.0,65.5,55.1,Yes,3.28,Sports,100.0,Distinction
STU0165,19,Male,Software Engineering,3,14.3,92.6,66.2,78.1,Yes,3.14,Sports,100.0,High Distinction
STU0166,23,Female,Software Engineering,2,16.3,88.2,75.1,70.5,Yes,3.33,Club,100.0,High Distinction
STU0167,20,Male,Computer Science,1,24.5,73.4,55.2,85.7,Yes,3.37,None,100.0,High Distinction
STU0168,19,Female,Software Engineering,3,20.9,85.6,70.1,74.0,Yes,2.99,Sports,100.0,High Distinction
STU0169,18,Male,Computer Science,3,20.2,90.0,86.3,53.5,Yes,2.77,Volunteer,100.0,High Distinction
STU0170,21,Male,Data Science,2,12.3,97.8,43.5,56.1,Yes,3.32,None,98.0,Credit
STU0171,21,Female,Information Technology,3,9.7,92.0,91.9,69.5,Yes,3.22,None,100.0,High Distinction
STU0172,18,Male,Software Engineering,2,20.7,90.8,86.6,33.3,Yes,2.69,None,100.0,Distinction
STU0173,21,Female,Software Engineering,3,20.3,84.5,66.0,93.1,Yes,3.69,Sports,100.0,High Distinction
STU0174,19,Male,Data Science,1,23.8,87.5,79.1,74.6,Yes,3.18,Volunteer,100.0,High Distinction
STU0175,21,Female,Data Science,4,11.4,95.2,72.0,86.4,Yes,3.38,Volunteer,97.8,High Distinction
STU0176,19,Female,Information Technology,2,13.6,72.0,88.0,44.3,Yes,3.68,Multiple,97.9,High Distinction
STU0177,22,Male,Computer Science,2,5.2,80.9,84.8,86.7,Yes,3.06,Club,100.0,High Distinction
STU0178,20,Male,Information Technology,1,48.0,77.0,53.8,100.0,Yes,3.19,None,100.0,High Distinction
STU0179,24,Female,Computer Science,1,21.0,87.4,79.6,48.2,Yes,3.41,Multiple,100.0,High Distinction
STU0180,19,Male,Data Science,2,12.2,95.1,69.3,79.6,Yes,2.72,Volunteer,100.0,High Distinction
STU0181,20,Male,Information Technology,1,18.8,78.6,73.1,68.0,No,3.07,Club,98.2,High Distinction
STU0182,19,Female,Software Engineering,4,13.9,62.5,62.5,44.8,Yes,3.11,Club,88.1,Credit
STU0183,23,Female,Data Science,1,16.9,80.3,94.7,75.4,No,2.62,Multiple,100.0,High Distinction
STU0184,23,Male,Software Engineering,2,8.1,92.2,85.5,80.5,Yes,4.0,Club,100.0,High Distinction
STU0185,19,Female,Computer Science,2,15.5,88.8,62.4,59.0,Yes,2.42,Sports,100.0,Distinction
STU0186,21,Female,Software Engineering,1,2.0,87.9,54.7,85.5,Yes,2.47,Club,75.0,Distinction
STU0187,22,Female,Software Engineering,1,13.9,81.5,67.0,43.0,Yes,3.64,None,100.0,Distinction
STU0188,21,Male,Business Analytics,2,5.2,72.5,77.6,45.6,Yes,3.37,Sports,81.7,Distinction
STU0189,21,Male,Business Analytics,2,22.2,88.6,75.1,70.0,Yes,2.59,Sports,100.0,High Distinction
STU0190,19,Female,Data Science,2,19.7,76.5,88.3,68.4,Yes,3.32,None,100.0,High Distinction
STU0191,19,Male,Computer Science,2,17.8,100.0,82.3,57.3,Yes,3.71,None,100.0,High Distinction
STU0192,23,Female,Business Analytics,3,24.1,89.1,84.6,80.1,Yes,3.04,None,100.0,High Distinction
STU0193,23,Male,Information Technology,1,9.3,78.8,76.2,76.0,Yes,4.0,Club,100.0,High Distinction
STU0194,21,Female,Computer Science,2,25.5,78.5,53.9,80.9,Yes,2.27,Volunteer,100.0,High Distinction
STU0195,20,Female,Information Technology,4,20.6,83.2,69.5,66.2,Yes,3.36,Multiple,100.0,High Distinction
STU0196,20,Male,Computer Science,2,13.6,81.8,85.8,77.0,Yes,3.57,Sports,100.0,High Distinction
STU0197,22,Female,Computer Science,3,21.8,94.1,71.3,61.3,Yes,3.45,Club,100.0,High Distinction
STU0198,23,Male,Computer Science,2,8.4,85.7,78.5,98.8,Yes,2.96,Multiple,100.0,High Distinction
STU0199,23,Male,Software Engineering,3,10.1,77.4,67.9,55.8,Yes,2.92,None,79.4,Distinction
STU0200,22,Female,Business Analytics,3,11.3,100.0,58.6,99.6,Yes,3.25,Club,100.0,High Distinction
STU0201,21,Female,Software Engineering,2,11.8,84.4,70.4,68.5,Yes,3.42,Volunteer,97.8,High Distinction
STU0202,19,Male,Information Technology,4,8.7,90.9,76.0,47.4,Yes,3.32,None,90.3,Distinction
STU0203,19,Female,Information Technology,1,22.3,78.5,63.5,88.5,Yes,3.52,Multiple,100.0,High Distinction
STU0204,23,Female,Business Analytics,1,13.4,87.3,68.9,69.9,Yes,2.59,Volunteer,93.9,High Distinction
STU0205,21,Female,Information Technology,3,17.1,86.8,59.8,80.8,Yes,2.95,None,100.0,High Distinction
STU0206,18,Female,Computer Science,4,11.6,67.0,86.6,86.4,Yes,2.63,None,100.0,High Distinction
STU0207,19,Female,Data Science,1,4.1,100.0,68.2,73.1,Yes,2.88,None,91.6,Distinction
STU0208,21,Male,Computer Science,1,16.6,95.6,90.9,59.1,Yes,3.51,Sports,100.0,High Distinction
STU0209,18,Male,Business Analytics,1,3.5,80.4,91.9,82.6,Yes,3.1,Sports,86.1,High Distinction
STU0210,19,Female,Data Science,2,14.6,74.1,70.9,68.0,No,4.0,Club,100.0,High Distinction
STU0211,21,Female,Computer Science,3,6.8,87.1,58.9,78.3,Yes,3.14,None,100.0,High Distinction
STU0212,22,Female,Computer Science,2,26.9,84.8,44.9,35.7,Yes,3.08,Multiple,100.0,Credit
STU0213,21,Male,Data Science,2,20.5,87.2,52.9,74.7,Yes,3.1,Sports,100.0,Distinction
STU0214,19,Female,Information Technology,2,15.6,85.7,54.1,58.4,Yes,2.76,None,93.6,Distinction
STU0215,22,Male,Computer Science,1,22.6,88.6,89.9,92.8,Yes,3.02,Sports,100.0,High Distinction
STU0216,19,Male,Software Engineering,2,9.9,97.0,73.5,77.3,Yes,3.56,Club,86.1,High Distinction
STU0217,20,Male,Computer Science,3,18.3,89.1,77.1,71.6,Yes,3.1,Sports,100.0,High Distinction
STU0218,22,Female,Data Science,4,16.2,74.6,43.1,75.3,Yes,2.69,None,91.6,Distinction
STU0219,21,Male,Software Engineering,4,16.6,96.3,56.4,53.0,Yes,2.63,None,88.6,Credit
STU0220,23,Female,Computer Science,1,22.6,98.8,83.5,92.3,Yes,2.85,Volunteer,100.0,High Distinction
STU0221,21,Male,Computer Science,4,19.4,100.0,75.7,97.9,Yes,3.08,Multiple,100.0,High Distinction
STU0222,21,Female,Computer Science,3,16.7,73.9,70.1,73.9,Yes,3.59,Sports,100.0,High Distinction
STU0223,19,Male,Information Technology,3,5.1,86.2,79.3,91.9,Yes,2.45,Sports,100.0,High Distinction
STU0224,20,Female,Computer Science,2,9.2,65.3,93.3,59.5,Yes,2.91,Club,82.8,High Distinction
STU0225,20,Male,Data Science,2,14.3,89.0,69.1,56.0,Yes,3.11,Club,90.8,Distinction
STU0226,19,Female,Computer Science,2,15.6,79.1,72.9,68.6,Yes,2.22,Sports,100.0,High Distinction
STU0227,24,Female,Business Analytics,1,8.2,100.0,74.5,74.5,Yes,2.67,Multiple,100.0,High Distinction
STU0228,20,Female,Software Engineering,1,29.5,77.0,100.0,62.1,No,2.74,Club,100.0,High Distinction
STU0229,23,Female,Data Science,1,24.1,68.8,44.7,76.1,Yes,2.69,Sports,100.0,Distinction
STU0230,21,Male,Business Analytics,2,18.6,79.8,80.9,72.6,Yes,3.14,Club,100.0,High Distinction
STU0231,22,Male,Information Technology,3,15.4,66.2,70.5,53.0,Yes,2.98,Multiple,82.7,Distinction
STU0232,21,Female,Business Analytics,2,13.7,90.8,79.4,75.8,Yes,2.8,Volunteer,100.0,High Distinction
STU0233,21,Male,Business Analytics,1,9.3,65.4,63.5,81.0,Yes,3.24,None,99.7,High Distinction
STU0234,21,Female,Information Technology,4,15.5,84.3,71.4,70.6,Yes,3.83,Sports,100.0,High Distinction
STU0235,19,Female,Computer Science,4,16.5,65.3,81.2,85.3,Yes,3.79,Sports,100.0,High Distinction
STU0236,22,Male,Software Engineering,3,7.5,81.1,100.0,49.7,Yes,2.18,Sports,95.0,High Distinction
STU0237,20,Female,Information Technology,4,17.0,98.8,82.5,75.0,Yes,3.31,Club,100.0,High Distinction
STU0238,18,Female,Computer Science,2,14.1,87.2,61.0,50.4,Yes,2.97,Volunteer,93.1,Distinction
STU0239,21,Male,Information Technology,4,3.6,76.2,66.5,51.3,Yes,3.12,Volunteer,70.8,Credit
STU0240,19,Female,Information Technology,1,9.8,83.7,66.1,58.5,Yes,2.87,Multiple,90.2,Distinction
STU0241,24,Female,Software Engineering,2,12.5,84.2,48.7,53.9,No,3.1,None,91.4,Credit
STU0242,24,Female,Data Science,1,26.3,88.3,67.7,59.8,Yes,3.12,Multiple,100.0,Distinction
STU0243,23,Female,Data Science,1,18.3,71.7,81.5,64.8,Yes,2.79,Volunteer,92.7,High Distinction
STU0244,20,Male,Computer Science,1,7.0,89.3,55.4,80.6,Yes,2.65,Sports,97.3,Distinction
STU0245,18,Male,Information Technology,3,17.9,,85.6,63.2,No,2.85,Volunteer,100.0,High Distinction
STU0246,23,Male,Business Analytics,3,5.7,78.3,78.3,44.2,Yes,3.16,None,80.5,Distinction
STU0247,20,Female,Computer Science,3,21.5,79.6,62.5,85.1,Yes,3.32,Volunteer,100.0,High Distinction
STU0248,24,Female,Information Technology,1,12.2,89.7,70.2,55.4,Yes,3.43,Club,100.0,Distinction
STU0249,24,Male,Data Science,4,14.4,84.2,92.8,67.1,Yes,2.83,None,88.0,High Distinction
STU0250,23,Female,Computer Science,3,23.0,71.3,81.5,74.7,Yes,3.18,Club,100.0,High Distinction
